,Accident Date/Time,Operator Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs,Time from Incident to Shutdown,Accident after Shutdown,Shutdown Period
0,1/1/2010 7:15 AM,ONEOK NGL PIPELINE LP,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),38.6707,-97.78123,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,21.0,0.0,21.0,NO,NO,NO,NA,NA,,110.0,1517.0,0.0,0.0,0.0,0.0,1627,0.0,0.0,0.0
1,1/4/2010 8:30 AM,PORTLAND PIPELINE CORP,ONSHORE,ABOVEGROUND,CRUDE OIL,None,43.94028,-70.49336,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0.12,0.0,NO,NO,NA,,,,4000.0,8.0,0.0,0.0,0.0,0.0,4008,0.0,0.0,
2,1/5/2010 10:30 AM,"PETROLOGISTICS OLEFINS, LLC",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ETHANE,30.1824,-93.3524,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,2.0,0.0,2.0,NO,NO,NA,,,,0.0,200.0,0.0,0.0,0.0,0.0,200,0.0,0.0,
3,1/6/2010 7:30 PM,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,UNDERGROUND,CRUDE OIL,None,46.6893,-92.0612,NATURAL FORCE DAMAGE,TEMPERATURE,0.48,0.48,0.0,NO,NO,NA,,,,200.0,40.0,0.0,11300.0,0.0,0.0,11540,0.0,0.0,
4,1/7/2010 1:00 PM,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,None,33.58266,-96.64881,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,700.0,698.0,2.0,NO,NO,NO,NA,NA,,20000.0,150.0,0.0,7500.0,2000.0,0.0,29650,0.0,0.0,0.0
5,1/8/2010 11:38 PM,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,UNDERGROUND,CRUDE OIL,None,48.99555,-97.52554,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,3784.0,1547.0,2237.0,NO,NO,YES,1/8/2010 23:41,1/13/2010 9:17,0.0,76940.0,167775.0,150000.0,1800000.0,2000000.0,0.0,4194715,180.0,0.0,380160.0
6,1/9/2010 12:15 AM,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,35.0,30.0,5.0,NO,NO,NO,NA,NA,,0.0,400.0,0.0,0.0,70000.0,0.0,70400,0.0,0.0,0.0
7,1/9/2010 1:12 AM,MOBIL CORP,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),30.08533,-94.3805,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.24,NO,NO,NA,,,,400.0,13.0,0.0,0.0,0.0,0.0,413,0.0,0.0,
8,1/10/2010 7:46 PM,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.4,0.4,0.0,NO,NO,NA,,,,0.0,336.0,0.0,0.0,40000.0,0.0,40336,0.0,0.0,
9,1/11/2010 2:30 PM,CONOCOPHILLIPS,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),29.71478,-95.17611,ALL OTHER CAUSES,MISCELLANEOUS,0.48,0.48,0.0,NO,NO,NO,NA,NA,,0.0,50.0,0.0,10000.0,10000.0,10000.0,30050,0.0,0.0,0.0
